conversation_id,root_tweet_id,customer_id,created_at,customer_message_raw,customer_message_clean,brand_response_raw,brand_response_clean,has_brand_response,turn_count,has_multiple_turns,full_transcript,intent
dell_conv_12892,12892,118608,Mon Oct 30 18:09:26 +0000 2017,"@DellCares dell 2350 error 931.01, how can i resolve it, i am in Afghanistan","@DellCares dell 2350 error 931.01, how can i resolve it, i am in Afghanistan","@118608 earlier for us to assist you at the earliest. ^VS (2/2) 
@118608 Greetings, As you had reached out to us regarding issues with your Dell product. Please share the details requested (1/2) 
@118608 reference. Refer to the link shared to locate the service tag (https://t.co/bar9GmymBS). ^VS (3/3)","[CUSTOMER] earlier for us to assist you at the earliest. 
[CUSTOMER] Greetings, As you had reached out to us regarding issues with your Dell product. Please share the details requested 
[CUSTOMER] reference. Refer to the link shared to locate the service tag ([URL]",True,6,True,"Customer: @DellCares dell 2350 error 931.01, how can i resolve it, i am in Afghanistan
DellSupport: [CUSTOMER] earlier for us to assist you at the earliest.
DellSupport: [CUSTOMER] Greetings, As you had reached out to us regarding issues with your Dell product. Please share the details requested
DellSupport: [CUSTOMER] reference. Refer to the link shared to locate the service tag ([URL]
DellSupport: [CUSTOMER] system or Laser Printer Dell All in one inkjet printers? Also please direct message the product service tag for our
DellSupport: [CUSTOMER] Greetings, We would be glad to look into this and assist you. Please let us know if you're referring to a Dell AIO 2350",WARRANTY_SERVICE_TAG
dell_conv_19030,19030,120246,Wed Nov 01 05:34:37 +0000 2017,"@DellCares I love my Inspiron 15 7000. But everytime I close it, this is what I got. Even system restore it's not working due to drivers. https://t.co/vd68bWGTy5","@DellCares I love my Inspiron 15 7000. But everytime I close it, this is what I got. Even system restore it's not working due to drivers. [URL]","@120246 (4) Also, DM us the system service tag along with registered owner's name. To Find Service Tag: https://t.co/NofQ2GK2EC ^RC 
@120246 and reopen the lid to check if the issue reoccurs on external display. (3) 
@120246 the cable connecting between LCD screen and system board. To confirm please connect the system to an external display and then close (2)","[CUSTOMER] (4) Also, DM us the system service tag along with registered owner's name. To Find Service Tag: [URL] 
[CUSTOMER] and reopen the lid to check if the issue reoccurs on external display. (3) 
[CUSTOMER] the cable connecting between LCD screen and system board. To confirm please connect the system to an external display and then close (2)",True,10,True,"Customer: @DellCares I love my Inspiron 15 7000. But everytime I close it, this is what I got. Even system restore it's not working due to drivers. [URL]
DellSupport: [CUSTOMER] (4) Also, DM us the system service tag along with registered owner's name. To Find Service Tag: [URL]
DellSupport: [CUSTOMER] and reopen the lid to check if the issue reoccurs on external display. (3)
DellSupport: [CUSTOMER] the cable connecting between LCD screen and system board. To confirm please connect the system to an external display and then close (2)
DellSupport: [CUSTOMER] I sincerely apologize for the technical troubles you are experiencing with your Dell system. It looks like there may be a problem with (1)
Customer: @DellCares I did a system restore again and the Intel 530 graphics driver is causing the screen issue
Customer: @DellCares Now it happens again, I can't do a system restore to it's previous state.
DellSupport: [CUSTOMER] Can you send us a DM with the Service Tag? It should be on the bottom of the system.
Customer: @DellCares I sent my service tag in the DM's. Do you have older intel drivers I can roll back?
DellSupport: [CUSTOMER] Hi, we have shared the driver link via direct message.",WARRANTY_SERVICE_TAG
dell_conv_26146,26146,121717,Wed Nov 01 09:06:12 +0000 2017,@DellCares a week without a working computer and DELL think this is prioritisation... They couldn't care less.,@DellCares a week without a working computer and DELL think this is prioritisation... They couldn't care less.,@121717 Our Colleagues @121718  will assist you in regards to your query. ^KT,[CUSTOMER] Our Colleagues [CUSTOMER] will assist you in regards to your query.,True,4,True,"Customer: @DellCares a week without a working computer and DELL think this is prioritisation... They couldn't care less.
DellSupport: [CUSTOMER] Our Colleagues [CUSTOMER] will assist you in regards to your query.
Customer: @DellCares [CUSTOMER] They have failed so far and can't seemed to communicate with each other.
Customer: @DellCares [CUSTOMER] [CUSTOMER] Dell simply don't care, DONT BUY DELL",GENERAL_INQUIRY_FEEDBACK
dell_conv_28217,28217,122177,Tue Oct 31 00:58:44 +0000 2017,@DellCares what is this https://t.co/IAbRCMyOdr,@DellCares what is this [URL],"@122177 4.Please provide the system service tag, registered owner’s name &amp; contact number.
How to find the service tag: https://t.co/yZEgRlCBG4
^NS 
@122177 3.Please connect an external monitor and check if the issue persists with the same.(4/5) 
@122177 2.Does it happen when you open a particular application?(3/5)","[CUSTOMER] 4.Please provide the system service tag, registered owner’s name &amp; contact number. How to find the service tag: [URL] 
[CUSTOMER] 3.Please connect an external monitor and check if the issue persists with the same. 
[CUSTOMER] 2.Does it happen when you open a particular application?",True,11,True,"Customer: @DellCares what is this [URL]
DellSupport: [CUSTOMER] 4.Please provide the system service tag, registered owner’s name &amp; contact number. How to find the service tag: [URL]
DellSupport: [CUSTOMER] 3.Please connect an external monitor and check if the issue persists with the same.
DellSupport: [CUSTOMER] 2.Does it happen when you open a particular application?
DellSupport: [CUSTOMER] 1.Since when are you facing this issue? When does this happen?
DellSupport: [CUSTOMER] Hi, Thank you for reaching out to us. Please direct message us the following details:
Customer: @DellCares Messaged
DellSupport: [CUSTOMER] Hope you are doing fine. This is a follow up message. Were you able to update the drivers as suggested for issue resolution?
DellSupport: [CUSTOMER] Please reach out to us if you have any queries.
DellSupport: [CUSTOMER] Hi Watts, Greetings! We havent heard back from you. We will proceed to archive this case for now.
DellSupport: [CUSTOMER] Hi Watts, Thanks for that.We will be responding to your direct message and help you further..",WARRANTY_SERVICE_TAG
dell_conv_35689,35689,123784,Tue Oct 31 16:22:43 +0000 2017,@DellCares @118197 Now I know why not to buy Dell - horribly slow tech support wasting my time.,@DellCares [CUSTOMER] Now I know why not to buy Dell - horribly slow tech support wasting my time.,"@123784 Hi, 
We haven't heard back from you yet. If you still need assistance, we are available 24/7. ^MU 
@123784 service tag and the registered owner name for further assistance. Service tag: https://t.co/vExPyUJ2XX. ^MU 2/2 https://t.co/oEoSPnwg0y 
@123784 Sorry about the bad experience you’ve had! Please DM us a brief description of the issue you are facing along with the system /1","[CUSTOMER] Hi, We haven't heard back from you yet. If you still need assistance, we are available . 
[CUSTOMER] service tag and the registered owner name for further assistance. Service tag: [URL] [URL] 
[CUSTOMER] Sorry about the bad experience you’ve had! Please DM us a brief description of the issue you are facing along with the system /1",True,5,True,"Customer: @DellCares [CUSTOMER] Now I know why not to buy Dell - horribly slow tech support wasting my time.
DellSupport: [CUSTOMER] Hi, We haven't heard back from you yet. If you still need assistance, we are available .
DellSupport: [CUSTOMER] service tag and the registered owner name for further assistance. Service tag: [URL] [URL]
DellSupport: [CUSTOMER] Sorry about the bad experience you’ve had! Please DM us a brief description of the issue you are facing along with the system /1
Customer: @DellCares [CUSTOMER] Dell simply don't want to help their customers. Have bought Dell for 15 years. Never again! Don't buy Dell.",WARRANTY_SERVICE_TAG
dell_conv_35824,35824,123808,Thu Sep 28 13:47:43 +0000 2017,@DellCares Is there a email address I can email to tech support?,@DellCares Is there a email address I can email to tech support?,"@123808 Hi, Mark,
Thank you for reaching out to us. For security reasons kindly delete the system service tag from the public message.(1 
@123808 further assistance. Click on the link: https://t.co/WyvtOtaxyB which has a video which explains (4) 
@123808 how to find the system service tag. ^MS(5)","[CUSTOMER] Hi, Mark, Thank you for reaching out to us. For security reasons kindly delete the system service tag from the public message.(1 
[CUSTOMER] further assistance. Click on the link: [URL] which has a video which explains (4) 
[CUSTOMER] how to find the system service tag. (5)",True,12,True,"Customer: @DellCares Is there a email address I can email to tech support?
DellSupport: [CUSTOMER] Hi, Mark, Thank you for reaching out to us. For security reasons kindly delete the system service tag from the public message.(1
Customer: @DellCares Hello, I need a mew motherboard for this Dell XPS 8500. I guess my question is, will installing a new motherboard mess up my window?
DellSupport: [CUSTOMER] further assistance. Click on the link: [URL] which has a video which explains (4)
DellSupport: [CUSTOMER] how to find the system service tag. (5)
DellSupport: [CUSTOMER] contact our sales team if you want to purchase a new motherboard. Kindly DM the system service tag if you require any(3)
DellSupport: [CUSTOMER] activate windows after the Motherboard is replaced as the windows product key is embedded on the motherboard. You may (2)
DellSupport: [CUSTOMER] Hi Mark, Thank you for reaching out to us. Changing the Motherboard will not affect windows. However, you may have to (1)
Customer: @DellCares My service is CMX9NS1, is there a email address I can use to contact you,I'm to new to twitter to know how to really use it
Customer: @DellCares I guess I don't understand, how do I get the embedded windows key if I need to enter it after replacing the MB?
Customer: @DellCares have to what?
DellSupport: [CUSTOMER] HI Mark, We have replied to you via Direct Message.",WARRANTY_SERVICE_TAG
dell_conv_43167,43167,125555,Wed Nov 01 12:05:17 +0000 2017,"@DellCares whoa, worst customer service on earth! seriously  can't even answer simplest questions. embarrassing. really.","@DellCares whoa, worst customer service on earth! seriously can't even answer simplest questions. embarrassing. really.","@125555 and a brief description of the issue. Service tag : https://t.co/bajDpBPfiy ^KT (3) https://t.co/oEoSPnwg0y 
@125555 Kindly DM your system service tag, email id and registered owner's name(2) https://t.co/oEoSPnwg0y 
@125555 That's concerning. We would like to look into this right away to turn this experience around. (1) https://t.co/oEoSPnwg0y","[CUSTOMER] and a brief description of the issue. Service tag : [URL] (3) [URL] 
[CUSTOMER] Kindly DM your system service tag, email id and registered owner's name(2) [URL] 
[CUSTOMER] That's concerning. We would like to look into this right away to turn this experience around. (1) [URL]",True,4,True,"Customer: @DellCares whoa, worst customer service on earth! seriously can't even answer simplest questions. embarrassing. really.
DellSupport: [CUSTOMER] and a brief description of the issue. Service tag : [URL] (3) [URL]
DellSupport: [CUSTOMER] Kindly DM your system service tag, email id and registered owner's name(2) [URL]
DellSupport: [CUSTOMER] That's concerning. We would like to look into this right away to turn this experience around. (1) [URL]",WARRANTY_SERVICE_TAG
dell_conv_48981,48981,126928,Wed Nov 01 16:15:45 +0000 2017,@DellCares can you help me?My laptop refuses to start even when I put it on charge.It was working fine last night.I had put it on sleep mode,@DellCares can you help me?My laptop refuses to start even when I put it on charge.It was working fine last night.I had put it on sleep mode,"@126928 Click on the link-https://t.co/164Kiq9DpQ to watch a video on how to locate service tag.(4/4) ^VR 
@126928 Please follow us and DM the system tag along with your email address. (3/4) 
@126928 Has the device been accidentally damaged in any way? (2/4)","[CUSTOMER] Click on the link-[URL] to watch a video on how to locate service tag. 
[CUSTOMER] Please follow us and DM the system tag along with your email address. 
[CUSTOMER] Has the device been accidentally damaged in any way?",True,8,True,"Customer: @DellCares can you help me?My laptop refuses to start even when I put it on charge.It was working fine last night.I had put it on sleep mode
DellSupport: [CUSTOMER] Click on the link-[URL] to watch a video on how to locate service tag.
DellSupport: [CUSTOMER] Please follow us and DM the system tag along with your email address.
DellSupport: [CUSTOMER] Has the device been accidentally damaged in any way?
DellSupport: [CUSTOMER] Greetings from Dell's Social media team. We are here to assist you with this. /1
Customer: @DellCares DMed you
Customer: @DellCares No damage has ever happened to my laptop. It nicely sleeps on my bed or sofa the entire time
DellSupport: [CUSTOMER] Thank you, we have replied to you via DM.",WARRANTY_SERVICE_TAG
dell_conv_50728,50728,127378,Sat Oct 14 14:28:32 +0000 2017,@DellCares.  I tried Customer care no  at least 15 times but all the times the calls abruptly disconnected. Too painful to call customercare,@DellCares. I tried Customer care no at least 15 times but all the times the calls abruptly disconnected. Too painful to call customercare,"@127378 We regret the inconvenience and shall look into this right now. Please DM the details of your query for us to review and assist. ^SP 
@127378 registered owner’s name and email address to assist you further. ^NR (3) 
@127378 per your warranty entitlement.
Please DM us your system’s service tag, (2)","[CUSTOMER] We regret the inconvenience and shall look into this right now. Please DM the details of your query for us to review and assist. 
[CUSTOMER] registered owner’s name and email address to assist you further. (3) 
[CUSTOMER] per your warranty entitlement. Please DM us your system’s service tag, (2)",True,33,True,"Customer: @DellCares. I tried Customer care no at least 15 times but all the times the calls abruptly disconnected. Too painful to call customercare
Customer: @DellCares Missing 4 full working days in this because of your product. I understand now there is issue with motherboard and hard disc. This is worst
DellSupport: [CUSTOMER] We regret the inconvenience and shall look into this right now. Please DM the details of your query for us to review and assist.
Customer: @DellCares Registered owner name Rushikesh Kolharkar express service tag 2275984910
DellSupport: [CUSTOMER] registered owner’s name and email address to assist you further. (3)
DellSupport: [CUSTOMER] per your warranty entitlement. Please DM us your system’s service tag, (2)
DellSupport: [CUSTOMER] Hi there, We regret the inconvenience you have faced. We will be glad to have this resolved for you at the earliest as (1)
DellSupport: [CUSTOMER] Hi Rushikesh, We are closing the case for the time being. Do get back to us anytime. We are always available.
DellSupport: [CUSTOMER] repair. Send us a direct message for us to assist you. (5)
DellSupport: [CUSTOMER] We are sure that your system will work fine after repair. If you have any issues before, while or after the(4)
DellSupport: [CUSTOMER] the issue. The service will happen within the next 2-3 business days. Request you to wait for the service to complete. (3)
DellSupport: [CUSTOMER] contact with our technical support team and they have already set up the service to have the required parts replaced to fix(2)
DellSupport: [CUSTOMER] Hi Rushikesh, We request you to delete the service tag from public viewing for security reasons. We see that you are in (1)
DellSupport: [CUSTOMER] if you need any further assistance. We would be glad to assist you further. (2)
DellSupport: [CUSTOMER] Hi, Rushikesh, As per the records, we see that the service has been completed. Do let us know(1)
DellSupport: [CUSTOMER] reach out to us if you have any further query. We are available . (2)
DellSupport: [CUSTOMER] Hi RUSHIKESH, We see that the service has been completed. Do (1)
Customer: @DellCares thanks motherboard changed however the hard disk issue is still there there are bad sectors in the hard disk need a replacement
DellSupport: [CUSTOMER] Hi, we haven't heard from you. Feel free to contact us if you need any assistance, we are available .
DellSupport: [CUSTOMER] and DM us the details. We will be glad to assist you and have this issue resolved at the earliest.
DellSupport: [CUSTOMER] [URL] run the Dell diagnostics and do share the image of the test results screen. Do follow
DellSupport: [CUSTOMER] Could you please brief us about the exact issue you are facing with the hard drive. Refer to this link
DellSupport: [CUSTOMER] Thank you for contacting us. We will be glad to assist you. Is this in regard to your Inspiron 24-3459 system?
DellSupport: [CUSTOMER] Hi, we are waiting for your reply to our previous message. Feel free to contact us anytime. Have a good day.
Customer: @DellCares no the hard disk need to be checked as the system is too slow also there are bad sectors on the desk
DellSupport: [CUSTOMER] checked, I request you to run a hardware diagnostics and check if you receive any error message. If yes, direct message
DellSupport: [CUSTOMER] Greetings, Thank you replying back. Since you've mentioned that the system is slow and you would like to get the hard drive
DellSupport: [CUSTOMER] run hardware diagnostics ([URL]
DellSupport: [CUSTOMER] direct message us the error message along with the service tag and we will proceed further with the troubleshooting. How to
DellSupport: [CUSTOMER] Greetings,this is a follow-up message to check if you were able to run the Dell diagnostics.Feel free to contact us anytime.
Customer: @DellCares i am out of station currently and will be back in pune saturday morning
DellSupport: [CUSTOMER] Thank you for your reply. Feel free to contact us anytime. We are available .
DellSupport: [CUSTOMER] Greetings. Hope you are doing fine. We are waiting for your reply to our previous message. Feel free to contact us anytime.",WARRANTY_SERVICE_TAG
dell_conv_52177,52177,127730,Wed Nov 01 03:31:59 +0000 2017,Hey @118197 @DellCares - all of a sudden when I close the lid and reopen my Inspiron 7567 - I get this crazy screen and have to force shutdown https://t.co/QLhjmBGho9,Hey [CUSTOMER] @DellCares - all of a sudden when I close the lid and reopen my Inspiron 7567 - I get this crazy screen and have to force shutdown [URL],@127730 We have responded to you via Direct message. ^DI,[CUSTOMER] We have responded to you via Direct message.,True,4,True,"Customer: Hey [CUSTOMER] @DellCares - all of a sudden when I close the lid and reopen my Inspiron 7567 - I get this crazy screen and have to force shutdown [URL]
Customer: [CUSTOMER] [CUSTOMER] @DellCares I would check dell's website for an updated graphics driver. Also, use an external monitor to see if you get the lines on that.
Customer: [CUSTOMER] [CUSTOMER] @DellCares Don't get image on ext mntr unless I toggle FN+F8 a few times. Image corrects itself after screen shuts off and I hit a key to bring it on
DellSupport: [CUSTOMER] We have responded to you via Direct message.",HARDWARE_POWER_BOOT
