eval_id,customer_message,human_intent,human_escalation,human_escalation_reason,human_quality_score_1_5,human_notes
GOLD_APPLE_001,You dropped an update and I️ still see boxed question marks. Fix this shit [USER] [CUSTOMER].,,,,,
GOLD_APPLE_002,"Yo [CUSTOMER] [USER] iOS 11 is the biggest pile of trash. Every single person I know that’s updated to it has problems, mine freezes",,,,,
GOLD_APPLE_003,"[CUSTOMER] hi. I upgraded my OS to 10.0.1. Now my music ain’t playing! Rather, there’s no sound. Kindly assist. Thanks cc [USER]",,,,,
GOLD_APPLE_004,atualizei o ios e agora meu whatsapp não funciona em segundo plano e não recebo notificação WHATS GOOD [USER],,,,,
GOLD_APPLE_005,"Alright [USER] this new iPhone update is dog shit, do everyone a solid and fix it",,,,,
GOLD_APPLE_006,So my [CUSTOMER] is crashing on launch on iMac 🖥 #HighSierra. Somebody needs to fix this today [USER],,,,,
GOLD_APPLE_007,[CUSTOMER] [USER] why does the alarm clock remain quiet if your volume is all the way down? Fuckin late for work again... arg,,,,,
GOLD_APPLE_008,[USER] facing problem with google maps on my iPhone 6 after updation of iOS 11.1.2 as map not taking my location and showing driving directions please support,,,,,
GOLD_APPLE_009,"[USER] Can you help me with a 10.5” iPad Pro Apple keyboard bug? Type but no output on screen. Happens about three times a day. Toggling to lock screen and back helps. Also, once a week it starts deleting text like you’re holding delete key. Would appreciate any help.",,,,,
GOLD_APPLE_010,"[USER] hey I'm facing problem updating my Iphone to iOS 11 whenever I wanna update it, a message pop up says verifying",,,,,
GOLD_APPLE_011,I'm trying to update to #iOS10 .3.3 and it gives me this message!!! Can someone pls help 😭 #techsupport [USER] #applesupport [URL],,,,,
GOLD_APPLE_012,[USER] I royally screwed myself with a wrong click updating “File Vault” Please Please Please tell me how to fix my baby! Holy Crap I’m freakin’ out! Any suggestions for a blind guy that is your #1 advocate in Tampa would be sooooo appreciated🙏G [URL],,,,,
GOLD_APPLE_013,"[USER] when I manually enter a new contact, default option is 'home fax'. Please change so that default is 'mobile'",,,,,
GOLD_APPLE_014,How do I get rid of this notification? [CUSTOMER] [CUSTOMER] [CUSTOMER] [USER] [URL],,,,,
GOLD_APPLE_015,"Oi [USER] , i’m currently experiencing HEAVY lags since I’ve done the iOS 11 update... what happens now?",,,,,
GOLD_APPLE_016,HOW DO I️ FIX THIS SOMEONE HELP [USER] [URL],,,,,
GOLD_APPLE_017,And bugs in ios11.3 continues...... [CUSTOMER] [USER] [URL],,,,,
GOLD_APPLE_018,[USER] can you tell me how to improve my iPhone 6s? Because after installing IOS 11 it’s slow and crashes a lot!! Hi from Mexico,,,,,
GOLD_APPLE_019,[CUSTOMER] hey buddy ..how do one force close apps on IOS 11.0.2 ?Usual slide up to close is not there [USER] [CUSTOMER],,,,,
GOLD_APPLE_020,"[USER] Hey guys, can you tell me what this bar is at the bottom of my keyboard in iOS11? 😳 [URL]",,,,,
GOLD_APPLE_021,"[USER] So wish I hadn’t updated to iOS 11, everything taking ages to load, mail only partially loading. Solution? Quickly, please!",,,,,
GOLD_APPLE_022,"[USER] hi! My week old iPhone 7 Plus keeps crashing or freezing for no reason. Plus the screen is quite unresponsive, help! TY",,,,,
GOLD_APPLE_023,[USER] my iPhone 8 lock screen music controls always freeze specifically the elapsed time of a song I can still control. Visual bug,,,,,
GOLD_APPLE_024,"Hi, [USER] I wanted know if people are having problems getting the new watchOS 4.1 update? Because I am. It been checking for 18 hrs.",,,,,
GOLD_APPLE_025,"[USER] Any idea what’s behind the dock? Just showed up after iOS 11 upgrade on iPad. Only in portrait mode, too. [URL]",,,,,
GOLD_APPLE_026,[USER] iOS 11.1 - keyboard lag. 🤨 [URL],,,,,
GOLD_APPLE_027,"[USER] [CUSTOMER] had an ipad for several years and up until installing ios10, very impressed. Now, im totally sick of the 32sec pauses whilst the ipad mulls connections. Time for the bin im afraid. Never again!",,,,,
GOLD_APPLE_028,[USER] what happened to bookmarks in ios11 update. Safari is now blank. How do I restore them please. Phone is so slow now too. What’s happened.,,,,,
GOLD_APPLE_029,"[CUSTOMER] Así el mío también, está todo lento y se pasma, [USER] de saberlo no descargo la actualización 👎🏽😼",,,,,
GOLD_APPLE_030,[CUSTOMER] [USER] how will iphone x recognize me with face id if I am wearing my du rag?,,,,,
GOLD_APPLE_031,"[USER], dear friends, my iPhone somewhere lost my #thanksgiving badge. Where can I find it? I’m sad I had the 3.1 miles and get promise broken, no received [URL]",,,,,
