tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
11461,DellCares,False,Wed Nov 01 00:24:32 +0000 2017,@118196 5/5 as it contains service. Direct message the details after trying the steps to assist you further. ^PL,,11462.0
11462,118196,True,Tue Oct 31 23:41:45 +0000 2017,@DellCares Warning ac cannot be determined,"11461,11463,11464,11465,11466",11467.0
11467,DellCares,False,Tue Oct 31 21:32:54 +0000 2017,@118196 reference please direct message the system service tag. How to locate the service tag (https://t.co/bar9GmymBS). ^VS (4/4),"11462,11468,11469",11470.0
11463,DellCares,False,Wed Nov 01 00:22:00 +0000 2017,"@118196 2/5 to try the steps below:

Please remove the battery and disconnect the adapter. Press and hold the power button for 15 seconds.",,11462.0
12891,DellCares,False,Wed Nov 01 01:42:27 +0000 2017,@118608 earlier for us to assist you at the earliest. ^VS (2/2),,12892.0
12892,118608,True,Mon Oct 30 18:09:26 +0000 2017,"@DellCares dell 2350 error 931.01, how can i resolve it, i am in Afghanistan","12891,12893,12894,12895,12896",
12893,DellCares,False,Wed Nov 01 01:42:27 +0000 2017,"@118608 Greetings, As you had reached out to us regarding issues with your Dell product. Please share the details requested (1/2)",,12892.0
19028,DellCares,False,Wed Nov 01 06:01:34 +0000 2017,"@120246 (4) Also, DM us the system service tag along with registered owner's name. To Find Service Tag: https://t.co/NofQ2GK2EC ^RC",19029,19030.0
19029,120246,True,Wed Nov 01 16:44:12 +0000 2017,@DellCares I did a system restore again and the Intel 530 graphics driver is causing the screen issue,19031,19028.0
19031,120246,True,Wed Nov 01 16:56:15 +0000 2017,"@DellCares Now it happens again, I can't do a system restore to it's previous state.",19032,19029.0
19032,DellCares,False,Wed Nov 01 17:38:00 +0000 2017,@120246 Can you send us a DM with the Service Tag? It should be on the bottom of the system. ^BL,19033,19031.0
19033,120246,True,Wed Nov 01 18:54:07 +0000 2017,@DellCares I sent my service tag in the DM's. Do you have older intel drivers I can roll back?,19034,19032.0
19034,DellCares,False,Wed Nov 01 19:39:26 +0000 2017,"@120246 Hi, we have shared the driver link via direct message. ^SK",,19033.0
19030,120246,True,Wed Nov 01 05:34:37 +0000 2017,"@DellCares I love my Inspiron 15 7000. But everytime I close it, this is what I got. Even system restore it's not working due to drivers. https://t.co/vd68bWGTy5","19028,19035,19036,19037",
19035,DellCares,False,Wed Nov 01 06:01:34 +0000 2017,@120246 and reopen the lid to check if the issue reoccurs on external display. (3),,19030.0
20152,DellCares,False,Wed Nov 01 06:58:35 +0000 2017,"@120433 3/3
 Once you share the service tag, we will help you with the driver link for your system.

^AV",20153,20154.0
20153,120433,True,Wed Nov 01 13:09:55 +0000 2017,@DellCares At least you guys reply while in twitter... Thanks @DellCares My service tag is : 7BXZJC2. The @120434 display driver is giving me error. https://t.co/oanfV8qhqv,"20155,20156,20157",20152.0
20155,DellCares,False,Wed Nov 01 15:44:27 +0000 2017,@120433 Restart the system and check how it goes. You may send us a DM for any further assistance. ^MS(3),,20153.0
20156,DellCares,False,Wed Nov 01 15:44:27 +0000 2017,@120433 from the public message. You may reinstall the AMD drivers from this link: https://t.co/ABevQhB4ja. (2),20158,20153.0
20158,120433,True,Thu Nov 02 01:29:44 +0000 2017,@DellCares can i install this driver for Windows 10 64 bit version and please make yours customer support a more good one please,"20159,20160,20161",20156.0
20159,DellCares,False,Thu Nov 02 02:24:00 +0000 2017,"@120433 Kiran, you can go to our support site https://t.co/SeGQ9cW2i9 and find the appropriate drivers for Windows 10. Please uninstall the (1)",,20158.0
20160,DellCares,False,Thu Nov 02 02:24:00 +0000 2017,"@120433 old drivers from the system and then reinstall the same. Just go to device manager, click on display adapters and there you will find the(2)",,20158.0
20161,DellCares,False,Thu Nov 02 02:24:00 +0000 2017,"@120433 existing drivers. Right click and uninstall the same. Then restart the system and install the new ones. For further help, please DM. (3) ^BI",20162,20158.0
20162,120433,True,Thu Nov 02 04:47:26 +0000 2017,@DellCares Please check yours DM nothing is solving my issue,,20161.0
20157,DellCares,False,Wed Nov 01 15:44:00 +0000 2017,"@120433 Hi Kiran,
We see that the system was shipped with Linux and you are currently using windows 10. Kindly delete the service tag(1)",,20153.0
21275,DellCares,False,Wed Nov 01 07:02:11 +0000 2017,@118196 (AEST) and they should be able to help you further. ^DG(3/3),,21276.0
21276,118196,True,Wed Nov 01 06:06:47 +0000 2017,@DellCares Yes I am,"21275,21277,21278,21279,21280,21281",11464.0
11464,DellCares,False,Wed Nov 01 00:20:30 +0000 2017,"@118196 Hi,

Thank you for sharing the details. Please confirm if you are using the same adapter shipped along with the system?

We request you 1/5",21276,11462.0
21277,DellCares,False,Wed Nov 01 07:02:01 +0000 2017,"@118196 would request you to call our experts from Out of Warranty on 1300-655-533, Monday–Friday 8 a.m.–8 p.m (2/3)",,21276.0
21278,DellCares,False,Wed Nov 01 07:02:01 +0000 2017,@118196 Thank you for letting us know. Since the system is out of warranty the options from our end is limited. We 1/3,,21276.0
24331,DellCares,False,Wed Nov 01 08:59:00 +0000 2017,@121251 (2)  with registered owner's name so that we can check the system configuration and provide you the steps. ^RC,,24332.0
24332,121251,True,Wed Nov 01 08:35:41 +0000 2017,@DellCares Hello can you let me know how to flip the screen on the Dell laptop back to regular view please?,"24331,24333,24334",24335.0
24335,DellCares,False,Wed Nov 01 08:30:05 +0000 2017,"Why your laptop #battery hates extreme temperatures, and other useful battery details. https://t.co/cBqTq7KT8R https://t.co/GJggph93XM","24332,24336",
