conversation_id,root_tweet_id,customer_id,created_at,customer_message_raw,customer_message_clean,brand_response_raw,brand_response_clean,has_brand_response,turn_count,has_multiple_turns,full_transcript,intent
apple_conv_176027,176027,157393,Fri Nov 24 23:55:37 +0000 2017,@AppleSupport I’m seeing a pink vertical line from top to bottom about 2/3rd of the way from left one pixel wide on my iPhone X #pinkline #iphonex,[USER] I’m seeing a pink vertical line from top to bottom about 2/3rd of the way from left one pixel wide on my iPhone X #pinkline #iphonex,"@157393 We'd love to help with your display! When did this issue start? Were there any changes made to the iPhone, such as an update, or new app installed?","[CUSTOMER] We'd love to help with your display! When did this issue start? Were there any changes made to the iPhone, such as an update, or new app installed?",True,2,False,"Customer: [USER] I’m seeing a pink vertical line from top to bottom about 2/3rd of the way from left one pixel wide on my iPhone X #pinkline #iphonex
AppleSupport: [CUSTOMER] We'd love to help with your display! When did this issue start? Were there any changes made to the iPhone, such as an update, or new app installed?",HARDWARE_SCREEN_AUDIO
apple_conv_112813,112813,141072,Thu Nov 23 20:43:18 +0000 2017,"@AppleSupport hi you guys, can you finally fix the problem with battery drain on iphone 6? thx","[USER] hi you guys, can you finally fix the problem with battery drain on iphone 6? thx",@141072 Battery life is important and we'd like to help if you're having problems with it. Which iOS version do you see in Settings &gt; General &gt; About? Let us know in DM. https://t.co/GDrqU22YpT,[CUSTOMER] Battery life is important and we'd like to help if you're having problems with it. Which iOS version do you see in Settings &gt; General &gt; About? Let us know in DM. [URL],True,2,False,"Customer: [USER] hi you guys, can you finally fix the problem with battery drain on iphone 6? thx
AppleSupport: [CUSTOMER] Battery life is important and we'd like to help if you're having problems with it. Which iOS version do you see in Settings &gt; General &gt; About? Let us know in DM. [URL]",BATTERY_POWER_CHARGING
apple_conv_333239,333239,195371,Sat Oct 07 17:42:16 +0000 2017,@115858 @AppleSupport How do I make a formal complaint against a Premium Reseller repair? #MacBook has had to go to #GeniusBar today #noMac,[CUSTOMER] [USER] How do I make a formal complaint against a Premium Reseller repair? #MacBook has had to go to #GeniusBar today #noMac,@195371 We can file the complaint for you. Meet us in DM and we can get started. https://t.co/GDrqU22YpT,[CUSTOMER] We can file the complaint for you. Meet us in DM and we can get started. [URL],True,3,True,"Customer: [CUSTOMER] [USER] How do I make a formal complaint against a Premium Reseller repair? #MacBook has had to go to #GeniusBar today #noMac
AppleSupport: [CUSTOMER] We can file the complaint for you. Meet us in DM and we can get started. [URL]
Customer: [USER] Thank you. DM sent 👍",GENERAL_INQUIRY_FEEDBACK
apple_conv_375854,375854,205137,Mon Oct 09 01:51:51 +0000 2017,"@AppleSupport help! My husband accidentally deleted a note he needs, what can he do?","[USER] help! My husband accidentally deleted a note he needs, what can he do?","@205137  We'd love to help. Did he check the deleted notes folder? 
@205137 No worries. We are glad you guys found it.","[CUSTOMER] We'd love to help. Did he check the deleted notes folder? 
[CUSTOMER] No worries. We are glad you guys found it.",True,8,True,"Customer: [USER] help! My husband accidentally deleted a note he needs, what can he do?
AppleSupport: [CUSTOMER] We'd love to help. Did he check the deleted notes folder?
Customer: [USER] Yes, he was stupid and deleted that too. We used another iPad and an old backup file to retrieve it. Thanks for replying though ^_^
AppleSupport: [CUSTOMER] No worries. We are glad you guys found it.
Customer: [USER] when I return to the US. Apple wouldn't accept fixing my phone because it was fixed by unauthorized retail
Customer: [USER] i need to fix my iPhone however there's no apple store here. I'm afraid if I got it fixed here in the future when I return
Customer: [USER] what are my options here?
Customer: [USER] I mean dealer*",GENERAL_INQUIRY_FEEDBACK
apple_conv_452621,452621,222379,Thu Nov 30 22:07:09 +0000 2017,Anyone ever seen a MacBook do this? Only happens for a split second when I exit standby and pretty sure it only started doing it since I updated to High Sierra. @AppleSupport? https://t.co/YyXSGrfbYl,Anyone ever seen a MacBook do this? Only happens for a split second when I exit standby and pretty sure it only started doing it since I updated to High Sierra. [USER]? [URL],@222379 Thanks for reaching out. We're happy to see what we can do to assist. Send us a DM and we'll follow up there. https://t.co/GDrqU22YpT,[CUSTOMER] Thanks for reaching out. We're happy to see what we can do to assist. Send us a DM and we'll follow up there. [URL],True,2,False,"Customer: Anyone ever seen a MacBook do this? Only happens for a split second when I exit standby and pretty sure it only started doing it since I updated to High Sierra. [USER]? [URL]
AppleSupport: [CUSTOMER] Thanks for reaching out. We're happy to see what we can do to assist. Send us a DM and we'll follow up there. [URL]",IOS_UPDATE_SYSTEM_CRASH
apple_conv_90683,90683,135635,Thu Nov 30 14:41:15 +0000 2017,"Beste @AppleSupport, hoe zorg ik ervoor dat foto’s en filmpjes  niet DIRECT in iCloud worden opgeslagen? Echt totaal idioot dat ik ze, twee minuten na het nemen, weer moet downloaden om ze aan iemand te versturen. Help, bitte!","Beste [USER], hoe zorg ik ervoor dat foto’s en filmpjes niet DIRECT in iCloud worden opgeslagen? Echt totaal idioot dat ik ze, twee minuten na het nemen, weer moet downloaden om ze aan iemand te versturen. Help, bitte!",@135635 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,[CUSTOMER] We offer support via Twitter in English. Contact us for help in your preferred language here: [URL],True,2,False,"Customer: Beste [USER], hoe zorg ik ervoor dat foto’s en filmpjes niet DIRECT in iCloud worden opgeslagen? Echt totaal idioot dat ik ze, twee minuten na het nemen, weer moet downloaden om ze aan iemand te versturen. Help, bitte!
AppleSupport: [CUSTOMER] We offer support via Twitter in English. Contact us for help in your preferred language here: [URL]",ACCOUNT_ICLOUD_SECURITY
apple_conv_311628,311628,190414,Sat Oct 07 00:17:22 +0000 2017,#iOS11's main feature is draining the fuck out of my battery. Please fix @115858 @AppleSupport,#iOS11's main feature is draining the fuck out of my battery. Please fix [CUSTOMER] [USER],@190414 Let us help out. DM us which device and the exact iOS version you’re using to begin. https://t.co/GDrqU22YpT,[CUSTOMER] Let us help out. DM us which device and the exact iOS version you’re using to begin. [URL],True,2,False,"Customer: #iOS11's main feature is draining the fuck out of my battery. Please fix [CUSTOMER] [USER]
AppleSupport: [CUSTOMER] Let us help out. DM us which device and the exact iOS version you’re using to begin. [URL]",BATTERY_POWER_CHARGING
apple_conv_41656,41656,125166,Wed Nov 01 14:49:50 +0000 2017,Anyone know how to fix this? cc/@AppleSupport #AppleWatch https://t.co/yzQUfaBVeA,Anyone know how to fix this? cc/[USER] #AppleWatch [URL],"@125166 We're here to help. Give these steps a try: https://t.co/gl1kJmEDP2 If you still have issues, DM us. https://t.co/GDrqU22YpT","[CUSTOMER] We're here to help. Give these steps a try: [URL] If you still have issues, DM us. [URL]",True,2,False,"Customer: Anyone know how to fix this? cc/[USER] #AppleWatch [URL]
AppleSupport: [CUSTOMER] We're here to help. Give these steps a try: [URL] If you still have issues, DM us. [URL]",GENERAL_INQUIRY_FEEDBACK
apple_conv_368346,368346,203276,Sun Oct 08 18:29:06 +0000 2017,@AppleSupport I got iPhone 8 plus and had a iPhone 6. How long does it take for the photos to come over? Changed it yesterday. Thanks https://t.co/YZc2hW7hZi,[USER] I got iPhone 8 plus and had a iPhone 6. How long does it take for the photos to come over? Changed it yesterday. Thanks [URL],"@203276 Great question! The time it takes for your backup to be restored depends on the amount of data, and your internet speed. 
@203276 As long as you have enough space and an uninterrupted internet connection, yes - they should all transfer.","[CUSTOMER] Great question! The time it takes for your backup to be restored depends on the amount of data, and your internet speed. 
[CUSTOMER] As long as you have enough space and an uninterrupted internet connection, yes - they should all transfer.",True,4,True,"Customer: [USER] I got iPhone 8 plus and had a iPhone 6. How long does it take for the photos to come over? Changed it yesterday. Thanks [URL]
AppleSupport: [CUSTOMER] Great question! The time it takes for your backup to be restored depends on the amount of data, and your internet speed.
Customer: [USER] Got that much? Will all photos come over? [URL]
AppleSupport: [CUSTOMER] As long as you have enough space and an uninterrupted internet connection, yes - they should all transfer.",ACCOUNT_ICLOUD_SECURITY
apple_conv_161262,161262,153201,Fri Nov 24 18:38:28 +0000 2017,@AppleSupport I can’t back my iPhone up to my MacBook Pro as I keep getting the error “iTunes could not back up the iPhone Jess North because an error occurred while reading from or writing to the iPhone” How can I resolve this as I get a new phone next week and want to transfer?,[USER] I can’t back my iPhone up to my MacBook Pro as I keep getting the error “iTunes could not back up the iPhone Jess North because an error occurred while reading from or writing to the iPhone” How can I resolve this as I get a new phone next week and want to transfer?,"@153201 We understand how important backing up your device is, and we're happy to help. To start, please check out https://t.co/0Yt2YL6ezw for tips. Keep us posted on how it goes. If needed, we're here for you. 
@153201 DM us the current macOS version you are using and we can take a look at this. https://t.co/GDrqU22YpT","[CUSTOMER] We understand how important backing up your device is, and we're happy to help. To start, please check out [URL] for tips. Keep us posted on how it goes. If needed, we're here for you. 
[CUSTOMER] DM us the current macOS version you are using and we can take a look at this. [URL]",True,4,True,"Customer: [USER] I can’t back my iPhone up to my MacBook Pro as I keep getting the error “iTunes could not back up the iPhone Jess North because an error occurred while reading from or writing to the iPhone” How can I resolve this as I get a new phone next week and want to transfer?
AppleSupport: [CUSTOMER] We understand how important backing up your device is, and we're happy to help. To start, please check out [URL] for tips. Keep us posted on how it goes. If needed, we're here for you.
Customer: [USER] Hi updated and restarted everything and still getting the same message?
AppleSupport: [CUSTOMER] DM us the current macOS version you are using and we can take a look at this. [URL]",GENERAL_INQUIRY_FEEDBACK
