conversation_id,root_tweet_id,customer_id,created_at,customer_message_raw,customer_message_clean,brand_response_raw,brand_response_clean,has_brand_response,turn_count,has_multiple_turns,full_transcript,intent
apple_conv_700,700,115854,Tue Oct 31 22:16:56 +0000 2017,@AppleSupport why are my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/GyRvpyVnkE,[USER] why are my I️’s changing not showing up correctly on any of my social media platforms? [URL],"@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About. 
@115854 Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. https://t.co/GDrqU22YpT","[CUSTOMER] We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About. 
[CUSTOMER] Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. [URL]",True,5,True,"Customer: [USER] why are my I️’s changing not showing up correctly on any of my social media platforms? [URL]
Customer: [USER] [URL]
AppleSupport: [CUSTOMER] We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.
Customer: [USER] The newest update. I️ made sure to download it yesterday.
AppleSupport: [CUSTOMER] Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there. [URL]",IOS_UPDATE_SYSTEM_CRASH
apple_conv_709,709,115855,Tue Oct 31 21:34:45 +0000 2017,@AppleSupport I️ need answers because it’s annoying 🙃,[USER] I️ need answers because it’s annoying 🙃,"@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far? 
@115855 That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started? 
@115855 Any steps tried since it started last night?","[CUSTOMER] We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far? 
[CUSTOMER] That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started? 
[CUSTOMER] Any steps tried since it started last night?",True,8,True,"Customer: [USER] I️ need answers because it’s annoying 🙃
AppleSupport: [CUSTOMER] We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?
Customer: [USER] I️ have an iPhone 7 Plus and yes I️ do
AppleSupport: [CUSTOMER] That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?
Customer: [USER] This is what it looks like [URL]
AppleSupport: [CUSTOMER] Any steps tried since it started last night?
Customer: [USER] Tried resetting my settings .. restarting my phone .. all that
AppleSupport: [CUSTOMER] Let's go to DM for the next steps. DM us here: [URL]",IOS_UPDATE_SYSTEM_CRASH
apple_conv_714,714,115856,Tue Oct 31 22:19:32 +0000 2017,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","Hey [USER] and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?","@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT","[CUSTOMER] Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. [URL]",True,3,True,"Customer: Hey [USER] and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?
AppleSupport: [CUSTOMER] Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. [URL]
Customer: [USER] Just sent you all my DM",IOS_UPDATE_SYSTEM_CRASH
apple_conv_723,723,115859,Tue Oct 31 22:11:16 +0000 2017,@115858 @AppleSupport hello are all the lines closed for tonight #help,[CUSTOMER] [USER] hello are all the lines closed for tonight #help,"@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT 
@115859 We've received your DM and will continue there.","[CUSTOMER] What's going on? We're hapy to help if we can. [URL] 
[CUSTOMER] We've received your DM and will continue there.",True,4,True,"Customer: [CUSTOMER] [USER] hello are all the lines closed for tonight #help
AppleSupport: [CUSTOMER] What's going on? We're hapy to help if we can. [URL]
Customer: [USER] are the call centres closed for the night?
AppleSupport: [CUSTOMER] We've received your DM and will continue there.",GENERAL_INQUIRY_FEEDBACK
apple_conv_730,730,115861,Tue Oct 31 20:46:35 +0000 2017,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7","Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also [USER] [URL]","@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT 
@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT","[CUSTOMER] You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: [URL] 
[CUSTOMER] Reach out to us via DM, and we can take a look at this with you. [URL]",True,6,True,"Customer: Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also [USER] [URL]
AppleSupport: [CUSTOMER] You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: [URL]
Customer: [USER] [CUSTOMER] We’re going to need you to share the answers Angela. I️ can’t stand this!
Customer: [CUSTOMER] [USER] I will!
Customer: [CUSTOMER] [CUSTOMER] [USER] I️ upgraded. I️t didn’t work.
AppleSupport: [CUSTOMER] Reach out to us via DM, and we can take a look at this with you. [URL]",IOS_UPDATE_SYSTEM_CRASH
apple_conv_733,733,115863,Tue Oct 31 22:16:40 +0000 2017,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,[USER] I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,@115863 Go ahead and send us a DM please. Let us know the country you're in.,[CUSTOMER] Go ahead and send us a DM please. Let us know the country you're in.,True,2,False,"Customer: [USER] I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?
AppleSupport: [CUSTOMER] Go ahead and send us a DM please. Let us know the country you're in.",GENERAL_INQUIRY_FEEDBACK
apple_conv_736,736,115864,Tue Oct 31 22:17:57 +0000 2017,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,Thank you [USER] I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1? 
@115864 To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: https://t.co/GDrqU22YpT","[CUSTOMER] We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1? 
[CUSTOMER] To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: [URL]",True,4,True,"Customer: Thank you [USER] I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤
AppleSupport: [CUSTOMER] We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?
Customer: [USER] I have the iPhone 6s Plus and just did the most recent update.
AppleSupport: [CUSTOMER] To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here: [URL]",IOS_UPDATE_SYSTEM_CRASH
apple_conv_747,747,115865,Tue Oct 31 18:08:04 +0000 2017,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,Hola [USER] necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,"@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs 
@115865 Hi there! What type of device are we working with? 
@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?","[CUSTOMER] We offer support via Twitter in English. Get help in Spanish here: [URL] or join [URL] 
[CUSTOMER] Hi there! What type of device are we working with? 
[CUSTOMER] Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?",True,10,True,"Customer: Hola [USER] necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️
AppleSupport: [CUSTOMER] We offer support via Twitter in English. Get help in Spanish here: [URL] or join [URL]
Customer: [USER] I need the software update urgently. The battery lasts literally half a day 🙍🏼🙁[USER]
AppleSupport: [CUSTOMER] Hi there! What type of device are we working with?
Customer: [USER] iPhone 7 Plus 😊
AppleSupport: [CUSTOMER] Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?
Customer: [USER] iOS 11.0.3
AppleSupport: [CUSTOMER] Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update.
Customer: [USER] Okey. Thank you! 🤗
AppleSupport: [CUSTOMER] Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help.",IOS_UPDATE_SYSTEM_CRASH
apple_conv_749,749,115866,Tue Oct 31 22:06:44 +0000 2017,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,[USER] Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! [URL],@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,[CUSTOMER] We want to help! DM us and let us know more about the issues you are having. [URL],True,2,False,"Customer: [USER] Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! [URL]
AppleSupport: [CUSTOMER] We want to help! DM us and let us know more about the issues you are having. [URL]",GENERAL_INQUIRY_FEEDBACK
apple_conv_752,752,115867,Thu Oct 12 10:11:50 +0000 2017,"@AppleSupport my Apple TV works fine with my phone, but when playing videos on Mac air it stutters so much &amp; sound is still on Mac not tv?","[USER] my Apple TV works fine with my phone, but when playing videos on Mac air it stutters so much &amp; sound is still on Mac not tv?",@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj,[CUSTOMER] We'd like to get you speaking to our experts here: [URL],True,3,True,"Customer: [USER] my Apple TV works fine with my phone, but when playing videos on Mac air it stutters so much &amp; sound is still on Mac not tv?
Customer: [USER] ? hello
AppleSupport: [CUSTOMER] We'd like to get you speaking to our experts here: [URL]",GENERAL_INQUIRY_FEEDBACK
